,drugname,chembl,canonical
6588,ETHYL 6-(N-(2-CHLORO-4-FLUOROPHENYL)SULFAMOYL)CYCLOHEX-1-ENE-1-CARBOXYLATE,CHEMBL225157,CCOC(=O)C1=CCCCC1S(=O)(=O)NC2=C(C=C(C=C2)F)Cl
6589,ETHYL METHANESULFONATE,CHEMBL338686,CCOS(=O)(=O)C
6590,ETHYL N-ALLYL-N-(2-METHYL-3-(4-(4-AMIDINOPHENOXYCARBONYL)PHENYL)PROPENOYL)AMINOACETATE METHANESULFONATE,CHEMBL85136,CCOC(=O)CN(CC=C)C(=O)C(=CC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C(=N)N)C.CS(=O)(=O)O
6596,ETHYLENE CHLOROHYDRIN,CHEMBL191244,C(CCl)O
6598,ETHYLENE GLYCOL,CHEMBL457299,C(CO)O
6607,ETHYLISOPROPYLAMILORIDE,CHEMBL517986,CCN(C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N)C(C)C
6611,ETHYLNITROSOUREA,CHEMBL167667,CCN(C(=O)N)N=O
6613,ETHYLPHENYLPROPIOLATE,CHEMBL1992423,CCOC(=O)C#CC1=CC=CC=C1
6615,ETICLOPRIDE,CHEMBL8946,CCC1=CC(=C(C(=C1O)C(=O)NCC2CCCN2CC)OC)Cl
6619,ETICLOPRIDE,CHEMBL1256917,CCC1=CC(=C(C(=C1O)C(=O)NCC2CCCN2CC)OC)Cl.Cl
6648,ETOXAZOLE,CHEMBL1881674,CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F
6651,EUGENOL,CHEMBL42710,COC1=C(C=CC(=C1)CC=C)O
6652,EUPATILIN,CHEMBL312750,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC
6653,EUTIGOSIDE C,CHEMBL477903,C1=CC=C(C=C1)C=CC(=O)OCC2C(C(C(C(O2)OCCC3(C=CC(=O)C=C3)O)O)O)O
6698,EVODIAMINE,CHEMBL81925,CN1C2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
6700,EVODIAMINE,CHEMBL463165,CN1C2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
6701,EVODIAMINE,CHEMBL486598,CN1C2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
6702,EVP 4593,CHEMBL522502,C1=CC=C(C=C1)OC2=CC=C(C=C2)CCNC3=NC=NC4=C3C=C(C=C4)N
6724,FADROZOLE,CHEMBL9298,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N
6725,FADROZOLE,CHEMBL468419,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.Cl
6726,FADROZOLE,CHEMBL287677,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N
6728,FADROZOLE,CHEMBL31215,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N
6738,FARGESIN,CHEMBL2442732,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC5=C(C=C4)OCO5)OC
6757,FARREROL,CHEMBL1224582,CC1=C(C(=C2C(=C1O)C(=O)CC(O2)C3=CC=C(C=C3)O)C)O
6758,FARREROL,CHEMBL507611,CC1=C(C(=C2C(=C1O)C(=O)CC(O2)C3=CC=C(C=C3)O)C)O
6766,FATOSTATIN,CHEMBL1621019,CCCC1=NC=CC(=C1)C2=NC(=CS2)C3=CC=C(C=C3)C
6767,FATOSTATIN,CHEMBL1455549,CCCC1=NC=CC(=C1)C2=NC(=CS2)C3=CC=C(C=C3)C.Br
6770,FEBUXOSTAT,CHEMBL135416,CCC
6771,FEBUXOSTAT,CHEMBL1164729,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O
6775,FEDRATINIB,CHEMBL1287853,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4
6785,FENAMIC ACID,CHEMBL23832,C1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O
6786,FENBENDAZOLE,CHEMBL37161,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
6788,FENITROTHION,CHEMBL347698,CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-]
6807,FENOXYCARB,CHEMBL15780,CCOC(=O)NCCOC1=CC=C(C=C1)OC2=CC=CC=C2
6811,FENPYROXIMATE,CHEMBL365100,CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C
6823,FENVALERATE,CHEMBL492491,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3
6915,FIPRONIL,CHEMBL101326,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F
6927,FLAVOKAWAIN A,CHEMBL243829,COC1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2OC)OC)O
6934,FLAVONOLS,CHEMBL294009,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O
6975,FLUORANTHENE,CHEMBL355014,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4
6985,FLUOXASTROBIN,CHEMBL1902591,CON=C(C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)C4=NOCCO4
6997,FLURIDONE,CHEMBL1887342,CN1C=C(C(=O)C(=C1)C2=CC(=CC=C2)C(F)(F)F)C3=CC=CC=C3
6998,FLURIDONE,CHEMBL2286104,C1=CC=C(C=C1)C2=CNC=C(C2=O)C3=CC(=CC=C3)C(F)(F)F
6999,FLUSILAZOLE,CHEMBL1900522,C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F
7013,FLUTOLANIL,CHEMBL487185,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F
7047,FONOFOS,CHEMBL3187845,CCOP(=S)(CC)SC1=CC=CC=C1
7053,FORMONONETIN,CHEMBL242341,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
7054,FORMONONETIN,CHEMBL8145,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
7056,FORMONONETIN,CHEMBL3343011,COC1=CC=C(C=C1)C2COC3=C(C2=O)C=CC(=C3)O
7078,FOROPAFANT,CHEMBL1628662,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CSC(=N2)N(CCN(C)C)CC3=CN=CC=C3)C(C)C
7097,FRAXINELLONE,CHEMBL257170,CC1=C2C(=O)OC(C2(CCC1)C)C3=COC=C3
7099,FRAXINELLONE,CHEMBL1595442,CC1=C2C(=O)OC(C2(CCC1)C)C3=COC=C3
7104,FRUCTOSAMINE,CHEMBL1742939,C(C(C(C(C(=O)CN)O)O)O)O
7128,FTI 277,CHEMBL135561,COC(=O)C(CCSC)NC(=O)C1=C(C=C(C=C1)NCC(CS)N)C2=CC=CC=C2
7133,FUCOXANTHIN,CHEMBL1575074,CC(=CC=CC=C(C)C=CC=C(C)C(=O)CC12C(CC(CC1(O2)C)O)(C)C)C=CC=C(C)C=C=C3C(CC(CC3(C)O)OC(=O)C)(C)C
7138,FUCOXANTHIN,CHEMBL1773903,CC(=CC=C(C)C=CC=C(C)C(=O)CC12C(CC(CC1(O2)C)O)(C)C)C=CC=C(C)C=C=C3C(CC(CC3(C)O)OC(=O)C)(C)C
7141,FULLERENE C60,CHEMBL2002842,C1COCCOCCOCCOCCOCCN1C2C3=C4C5=C6C7=C(CC8=C7C9=C1C6=C4C4=C2C=C2C4=C1C1=C9C(=C8)C=CC1=C2)C=C5C=C3
7180,FUMONISIN B1,CHEMBL1588379,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O
7181,FUMONISIN B1,CHEMBL91690,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O
7185,FUMONISIN B1,CHEMBL1322988,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O
7187,FUMONISIN B1,CHEMBL1241092,CCCCC(C)C(C(C(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O
7194,FUREGRELATE,CHEMBL1204948,C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)O
7195,FUREGRELATE,CHEMBL36028,C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)[O-].[Na+]
7203,FUSARENON-X,CHEMBL1079719,CC1=CC2C(C(C1=O)O)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)CO
7210,FUSARIC ACID,CHEMBL24510,CCCCC1=CN=C(C=C1)C(=O)O
7212,GABEXATE,CHEMBL87563,CCOC(=O)C1=CC=C(C=C1)OC(=O)CCCCCN=C(N)N
7213,GABEXATE,CHEMBL1398351,CCOC(=O)C1=CC=C(C=C1)OC(=O)CCCCCN=C(N)N.CS(=O)(=O)O
7246,GALANGIN,CHEMBL462894,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O
7247,GALANGIN,CHEMBL309490,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
7250,GALIELLALACTONE,CHEMBL1993987,CC1CC2CCC3C2(C(=C1)C(=O)O3)O
7252,GALIELLALACTONE,CHEMBL3823609,CC1CC2CCC3C2(C(=C1)C(=O)O3)O
7257,GALLIC ACID,CHEMBL288114,C1=C(C=C(C(=C1O)O)O)C(=O)O
7258,GALLIC ACID,CHEMBL7983,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O
7260,GALLIC ACID,CHEMBL3634562,C1=C(C=C(C(=C1O)O)O)C(=O)O.O
7273,GAMMA-LINOLENIC ACID,CHEMBL464982,CCCCCC=CCC=CCC=CCCCCC(=O)O
7274,GAMMA-LINOLENIC ACID,CHEMBL4127920,CCCCCC=CCC=CCC=CCCCCC(=O)O
7279,GAMMA-ORYZANOL,CHEMBL388595,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C
7291,GAMMA-TOCOPHEROL,CHEMBL420898,CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O
7292,GAMMA-TOCOPHEROL,CHEMBL2151591,CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O
7304,GANODERIC ACID A,CHEMBL602899,CC(CC(=O)CC(C)C(=O)O)C1CC(C2(C1(CC(=O)C3=C2C(CC4C3(CCC(=O)C4(C)C)C)O)C)C)O
7307,GANODERIC ACID A,CHEMBL1086926,CC(CC(=O)CC(C)C(=O)O)C1CC(C2(C1(CC(=O)C3=C2C(CC4C3(CCC(=O)C4(C)C)C)O)C)C)O
7309,GANODERIC ACID A,CHEMBL1922171,CC(CC(=O)C=C(C)C1CC(C2(C1(CC(=O)C3=C2C(CC4C3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
7317,GANT 61,CHEMBL471728,CN(C)C1=CC=CC=C1CN2CCCN(C2C3=CC=NC=C3)CC4=CC=CC=C4N(C)C
7321,GARCINOL,CHEMBL445599,CC(=CCC1CC2(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C(=O)C(C2=O)(C1(C)C)CC=C(C)C)CC(CC=C(C)C)C(=C)C)C
7322,GARCINOL,CHEMBL454261,CC(=CCC1CC2(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C(=O)C(C2=O)(C1(C)C)CC=C(C)C)CC(CC=C(C)C)C(=C)C)C
7329,GARDIQUIMOD,CHEMBL470426,CCNCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
7330,GARDIQUIMOD,CHEMBL1085742,CCNCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N
7332,GASTRODIN,CHEMBL274739,C1=CC(=CC=C1CO)OC2C(C(C(C(O2)CO)O)O)O
7335,GASTRODIN,CHEMBL4303581,C1=CC(=CC=C1CO)OC2C(C(C(C(O2)CO)O)O)O
7338,GDC-0152,CHEMBL2063869,CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C(=O)NC3=C(N=NS3)C4=CC=CC=C4)NC
7342,GEDUNIN,CHEMBL2004035,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C
7348,GEDUNIN,CHEMBL465226,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C
7350,GEDUNIN,CHEMBL462902,CC(=O)OC1CC2C(C(=O)CCC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C
7409,GENIPIN,CHEMBL459016,COC(=O)C1=COC(C2C1CC=C2CO)O
7412,GENIPIN,CHEMBL1987670,CC=C(C)C(=O)OC1CC(C2(CC3=C(C(C2C1)O)OC=C3C)C)C
7416,GENIPIN,CHEMBL1317787,COC(=O)C1=COC(C2C1CC=C2CO)O
7418,GENIPIN,CHEMBL3348900,COC(=O)C1=COC(C2C1CC=C2CO)O
7419,GENIPOSIDE,CHEMBL462894,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O
7424,GENIPOSIDE,CHEMBL1417490,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O
7426,GENIPOSIDE,CHEMBL1718933,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O
7451,GENTIOPICROSIDE,CHEMBL508320,C=CC1C(OC=C2C1=CCOC2=O)OC3C(C(C(C(O3)CO)O)O)O
7461,GERANIIN,CHEMBL506069,C1C2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C7C(=CC(=O)C(C7(O)O)(O6)O)C(=O)O3)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C=C9C(=O)O1)O)O)O)O)O)O
7472,GERANIOL,CHEMBL3181881,CC(C)CCCC(C)CCO
7474,GERANIOL,CHEMBL25719,CC(=CCCC(=CCO)C)C
7475,GERANIOL,CHEMBL452683,CC(=CCCC(=CCO)C)C
7478,GERANYLGERANIOL,CHEMBL478589,CC(=CCCC(=CCCC(=CCCC(=CCO)C)C)C)C
7498,GGTI 298,CHEMBL282748,CC(C)CC(C(=O)OC)NC(=O)C1=C(C=C(C=C1)NCC(CS)N)C2=CC=CC3=CC=CC=C32
7502,GIGANTOL,CHEMBL426871,COC1=C(C=C(C=C1)CCC2=CC(=CC(=C2)OC)O)O
7503,GIGANTOL,CHEMBL219553,COC1=CC(=CC(=C1)O)CCC2=CC(=C(C=C2)O)OC
7504,GINGEROL,CHEMBL1950582,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O
7508,GINGEROL,CHEMBL1095671,CCCCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O
7509,GINGEROL,CHEMBL402978,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O
7510,GINGEROL,CHEMBL25948,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC
7512,GINKGOLIC ACID,CHEMBL476921,CCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
7514,GINKGOLIC ACID,CHEMBL318054,COC1=CC(=CC(=C1O)OC)C2C3C(COC3O)C(C4=CC5=C(C=C24)OCO5)NC6=CC=C(C=C6)F
7516,GINKGOLIC ACID,CHEMBL445177,CCCCCCC=CCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
7517,GINKGOLIC ACID,CHEMBL277156,CCCCCCC=CCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
7518,GINKGOLIC ACID,CHEMBL470768,CCCCCCC=CCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
7590,GINSENOSIDE F1,CHEMBL584011,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)O)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C
7600,GINSENOSIDE M1,CHEMBL3355096,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C
7618,GINSENOSIDE RE,CHEMBL510095,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)OC6C(C(C(C(O6)CO)O)O)O)C)O)C7(C3C(C(CC7)O)(C)C)C)C)CO)O)O)O)O)O
7634,GINSENOSIDE RG1,CHEMBL501637,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C
7649,GINSENOSIDE RG3,CHEMBL398412,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)O)C
7652,GINSENOSIDE RG3,CHEMBL1095008,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)O)C
7664,GINSENOSIDE RH1,CHEMBL466844,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)O)C
7679,GINSENOSIDE RH2,CHEMBL1783834,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)O)C
7687,GINSENOSIDE RH2,CHEMBL1783835,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)O)C
7693,GLAFENINE,CHEMBL146095,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl
7695,GLAFENINE,CHEMBL1572751,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl.Cl
7696,GLAFENINE,CHEMBL1316219,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl
7705,GLIOTOXIN,CHEMBL1972524,CN1C(=O)C23CC4=CC=CC(C4N2C(=O)C1(SS3)CO)O
7706,GLIOTOXIN,CHEMBL331627,CN1C(=O)C23CC4=CC=CC(C4N2C(=O)C1(SS3)CO)O
7732,GLUCAGON,CHEMBL266481,CC(C)CC(C(=O)NC(CCSC)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC6=CC=CC=C6)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(CO)NC(=O)C(CC7=CNC=N7)N
7736,GLUCANS,CHEMBL448805,C(C(C(C(C(C=O)O)O)O)O)O
7769,GLUCOSAMINE 6-O-SULFATE,CHEMBL1162001,C(C1C(C(C(C(O1)O)N)O)O)OS(=O)(=O)O
7918,GLYCERYL 2-ARACHIDONATE,CHEMBL122972,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)CO
7920,GLYCIDAMIDE,CHEMBL3560005,C1C(O1)C(=O)N
7922,GLYCIDOL,CHEMBL1530150,C1C(O1)CO
7982,GLYCYL-HISTIDYL-LYSINE,CHEMBL1814493,C1=C(NC=N1)CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)CN
7985,GLYCYROL,CHEMBL132695,CC(=CCC1=C(C2=C(C=C1O)OC(=O)C3=C2OC4=C3C=CC(=C4)O)OC)C
7986,GLYCYRRHETINIC ACID,CHEMBL1863561,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
7987,GLYCYRRHETINIC ACID,CHEMBL230006,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
7988,GLYCYRRHETINIC ACID,CHEMBL441687,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C
7989,GLYCYRRHETINIC ACID,CHEMBL454067,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
7990,GLYCYRRHETINIC ACID,CHEMBL109757,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
7992,GLYCYRRHETINIC ACID,CHEMBL208873,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
7993,GLYCYRRHETINIC ACID,CHEMBL378653,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
7999,GLYCYRRHIZIC ACID,CHEMBL441687,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C
8007,GLYCYRRHIZIC ACID,CHEMBL2220802,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C
8021,GLYOXAL,CHEMBL1606435,C(=O)C=O
8031,GO 6976,CHEMBL302449,CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O
8035,GOLD CHLORIDE,CHEMBL182062,Cl[Au](Cl)Cl
8062,GONIOTHALAMIN,CHEMBL1170485,C1C=CC(=O)OC1C=CC2=CC=CC=C2
8063,GONIOTHALAMIN,CHEMBL464443,C1C=CC(=O)OC1C=CC2=CC=CC=C2
8065,GONIOTHALAMIN,CHEMBL1240592,C1C=CC(=O)OC1C=CC2=CC=CC=C2
8067,GORALATIDE,CHEMBL420741,CC(=O)NC(CO)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)O
8078,GOSSYPOL,CHEMBL51483,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O
8079,GOSSYPOL,CHEMBL1516388,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O.CC(=O)O
8081,GRANITE,CHEMBL1895913,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC
8084,GRAPHITE,CHEMBL17564,C
8097,GSK-J4,CHEMBL3183531,CCOC(=O)CCNC1=CC(=NC(=N1)C2=CC=CC=N2)N3CCC4=CC=CC=C4CC3
8098,GSK0660,CHEMBL592652,COC1=C(C=CC(=C1)NC2=CC=CC=C2)NS(=O)(=O)C3=C(SC=C3)C(=O)OC
8099,GSK1210151A,CHEMBL2017291,CC1=C(C(=NO1)C)C2=C(C=C3C(=C2)N=CC4=C3N(C(=O)N4)C(C)C5=CC=CC=N5)OC
8102,GSK2141795,CHEMBL3137336,CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl
8104,GSK2193874,CHEMBL4073922,C1CCN(CC1)C2CCN(CC2)CC3=C(C4=C(C=C(C=C4)Br)N=C3C5=CC(=CC=C5)C(F)(F)F)C(=O)NC6(CC6)C7=CC=CC=C7
8106,GSK690693,CHEMBL2140607,CCN1C2=C(C(=NC=C2OCC3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N
8107,GSK690693,CHEMBL494089,CCN1C2=C(C(=NC=C2OCC3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N
8110,GUANOSINE TRIPHOSPHATE,CHEMBL284939,CC(C)CC(C(=O)NC1CCCN(CC1=O)C(=O)CC2=CC(=CC=C2)C3=CC=CC=N3)NC(=O)C4=CC5=C(O4)C=CC(=C5)OCCN6CCOCC6
8112,GUANOSINE TRIPHOSPHATE,CHEMBL31218,CC(C)CC(C(=O)NC1CCCN(CC1=O)C(=O)CC2=CC(=CC=C2)C3=CC=CC=N3)NC(=O)C4=CC5=C(O4)C=CC(=C5)OCCN6CCOCC6
8113,GUANOSINE TRIPHOSPHATE,CHEMBL1233147,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
8118,GW 1929,CHEMBL434063,CN(CCOC1=CC=C(C=C1)CC(C(=O)O)NC2=CC=CC=C2C(=O)C3=CC=CC=C3)C4=CC=CC=N4
8120,GW 3965,CHEMBL59030,C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4
8121,GW 3965,CHEMBL4060455,C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4.Cl
8122,GW 4064,CHEMBL318457,CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)C=CC4=CC(=CC=C4)C(=O)O)Cl
8123,GW 4064,CHEMBL3188521,CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)C=CC4=CC(=CC=C4)C(=O)O)Cl
8127,GW 506033X,CHEMBL235641,C1=CC2=C(C3=C1NC(=O)C3=CC4=CN=CN4)SC=N2
